№,Секунда,Микросекунда
1,18,978693
2,18,989695
3,19,698
4,19,11266
5,19,22044
6,19,32259
7,19,43241
8,19,54244
9,19,65246
10,19,76249
11,19,87251
12,19,98254
13,19,109256
14,19,120259
15,19,130937
16,19,141473
17,19,152006
18,19,163000
19,19,174003
20,19,185006
21,19,196008
22,19,207011
23,19,218012
24,19,229015
25,19,240018
26,19,251020
27,19,261883
28,19,272878
29,19,283880
30,19,294883
31,19,305886
32,19,316888
33,19,327890
34,19,338893
35,19,349896
36,19,360901
37,19,371591
38,19,382146
39,19,392251
40,19,403242
41,19,414244
42,19,425247
43,19,436249
44,19,447252
45,19,458255
46,19,469257
47,19,480260
48,19,491262
49,19,501830
50,19,512489
51,19,523482
52,19,534485
53,19,545487
54,19,556491
55,19,567492
56,19,578494
57,19,589496
58,19,600055
59,19,611050
60,19,621725
61,19,632245
62,19,642755
63,19,653750
64,19,664753
65,19,675755
66,19,686758
67,19,697760
68,19,708763
69,19,719765
70,19,730768
71,19,741313
72,19,752244
73,19,763242
74,19,774245
75,19,785247
76,19,796250
77,19,807252
78,19,818255
79,19,829257
80,19,840260
81,19,850880
82,19,861410
83,19,871955
84,19,882951
85,19,893954
86,19,904956
87,19,915959
88,19,926961
89,19,937964
90,19,948966
91,19,959969
92,19,970971
93,19,981587
94,19,992639
95,20,3633
96,20,14635
97,20,25638
98,20,36641
99,20,47643
100,20,58645
101,20,69648
102,20,80650
103,20,91653
104,20,102184
105,20,113179
106,20,124182
107,20,135184
108,20,146187
109,20,157190
110,20,168192
111,20,179194
112,20,190197
113,20,201204
114,20,211663
115,20,222308
116,20,232542
117,20,243512
118,20,254515
119,20,265517
120,20,276521
121,20,287522
122,20,298525
123,20,309065
124,20,320068
125,20,331072
126,20,341647
127,20,352188
128,20,362520
129,20,373514
130,20,384516
131,20,395519
132,20,406168
133,20,417171
134,20,428173
135,20,439176
136,20,450178
137,20,460579
138,20,471337
139,20,481871
140,20,492866
141,20,503502
142,20,514496
143,20,525498
144,20,536501
145,20,547503
146,20,558505
147,20,569508
148,20,580510
149,20,591090
150,20,602577
151,20,613085
152,20,624087
153,20,635089
154,20,646092
155,20,657094
156,20,668097
157,20,679100
158,20,690102
159,20,701104
160,20,711640
161,20,722214
162,20,733211
163,20,744214
164,20,755216
165,20,766218
166,20,777221
167,20,788223
168,20,799226
169,20,810229
170,20,820877
171,20,831893
172,20,842885
173,20,853887
174,20,864889
175,20,875892
176,20,886895
177,20,897897
178,20,908899
179,20,919902
180,20,930904
181,20,941444
182,20,951979
183,20,962974
184,20,973976
185,20,984979
186,20,995981
187,21,6984
188,21,17986
189,21,28989
190,21,39991
191,21,50114
192,21,60584
193,21,71289
194,21,81874
195,21,92870
196,21,103871
197,21,114874
198,21,125877
199,21,136879
200,21,147882
201,21,158885
202,21,169886
203,21,180889
204,21,191429
205,21,201987
206,21,212982
207,21,223984
208,21,234987
209,21,245989
210,21,256992
211,21,267994
212,21,278997
213,21,289999
214,21,301002
215,21,311594
216,21,322156
217,21,333150
218,21,344152
219,21,355154
220,21,366157
221,21,377159
222,21,388162
223,21,399165
224,21,410167
225,21,421169
226,21,431720
227,21,442276
228,21,452467
229,21,463453
230,21,474456
231,21,485458
232,21,496460
233,21,507463
234,21,518465
235,21,529468
236,21,540471
237,21,551022
238,21,561589
239,21,572150
240,21,583147
241,21,594149
242,21,605151
243,21,616154
244,21,627157
245,21,638159
246,21,649162
247,21,660164
248,21,670969
249,21,681585
250,21,692152
251,21,703145
252,21,714148
253,21,725150
254,21,736153
255,21,747155
256,21,758157
257,21,769160
258,21,780162
259,21,791165
260,21,802648
261,21,813641
262,21,824644
263,21,835646
264,21,846649
265,21,857651
266,21,868653
267,21,879656
268,21,890658
269,21,901181
270,21,911742
271,21,922289
272,21,932521
273,21,943513
274,21,954516
275,21,965518
276,21,976520
277,21,987523
278,21,998526
279,22,9528
280,22,20530
281,22,31055
282,22,41587
283,22,52117
284,22,63109
285,22,74112
286,22,85114
287,22,96117
288,22,107119
289,22,118121
290,22,129124
291,22,140126
292,22,151129
293,22,161679
294,22,172216
295,22,183211
296,22,194214
297,22,205216
298,22,216219
299,22,227221
300,22,238223
